time,xposition,yposition,framenumber
1.636,255.0,255.0,0.0
1.678,213.0,245.0,1.0
1.716,213.0,253.0,2.0
1.756,214.0,257.0,3.0
1.796,215.0,260.0,4.0
1.838,215.0,263.0,5.0
1.876,216.0,265.0,6.0
1.917,216.0,267.0,7.0
1.958,216.0,270.0,8.0
1.995,216.0,270.0,9.0
2.037,216.0,272.0,10.0
2.077,217.0,273.0,11.0
2.117,218.0,274.0,12.0
2.156,219.0,276.0,13.0
2.196,220.0,277.0,14.0
2.237,220.0,278.0,15.0
2.275,222.0,280.0,16.0
2.314,222.0,279.0,17.0
2.354,223.0,281.0,18.0
2.394,224.0,283.0,19.0
2.435,225.0,284.0,20.0
2.476,226.0,284.0,21.0
2.517,226.0,284.0,22.0
2.555,227.0,282.0,23.0
2.599,229.0,284.0,24.0
2.637,229.0,282.0,25.0
2.678,229.0,281.0,26.0
2.718,231.0,282.0,27.0
2.755,231.0,282.0,28.0
2.793,231.0,281.0,29.0
2.837,229.0,278.0,30.0
2.876,229.0,278.0,31.0
2.917,230.0,278.0,32.0
2.956,231.0,279.0,33.0
2.997,232.0,279.0,34.0
3.037,233.0,279.0,35.0
3.077,233.0,277.0,36.0
3.116,234.0,277.0,37.0
3.158,237.0,279.0,38.0
3.196,238.0,278.0,39.0
3.234,238.0,274.0,40.0
3.276,238.0,272.0,41.0
3.317,239.0,272.0,42.0
3.356,240.0,271.0,43.0
3.396,241.0,271.0,44.0
3.438,242.0,272.0,45.0
3.476,243.0,272.0,46.0
3.517,244.0,272.0,47.0
3.559,244.0,271.0,48.0
3.6,243.0,271.0,49.0
3.637,244.0,271.0,50.0
3.678,244.0,271.0,51.0
3.718,243.0,270.0,52.0
3.758,247.0,271.0,53.0
3.797,250.0,272.0,54.0
3.837,253.0,272.0,55.0
3.878,256.0,273.0,56.0
3.919,258.0,273.0,57.0
3.957,258.0,273.0,58.0
3.997,260.0,273.0,59.0
4.04,258.0,271.0,60.0
4.078,258.0,270.0,61.0
