time,framenumber,xposition,yposition,currentPatch,previousTrapeze,currentTrapeze,turnDirection,ongoingRewardedObject,ongoingRewardedDirection,Rewarded,typeOfTurn,nberOfConsecRewards,maxNberOfConsecRewards,nbQT_sinceLastReward,nbRewardsWhileDepleting,totalnberOfRewards
12.87,283,329,106,NE,W,N,270.0,['NE'],[270.0],1,gogd,1,0,0,1,1
13.43,297,322,112,NE,N,W,90.0,['NE'],[270.0],False,gobd,1,0,0,1,1
14.27,318,314,219,NE,W,S,90.0,['NE'],[270.0],False,gobd,1,0,0,1,1
15.232,342,408,207,NE,S,E,90.0,['NE'],[270.0],False,gobd,1,0,0,1,1
16.07,363,413,96,NE,E,N,90.0,['NE'],[270.0],False,gobd,1,0,0,1,1
17.832,407,95,118,NW,N,W,90.0,['NW'],[90.0],1,gogd,2,0,0,1,2
18.953,435,104,211,NW,W,S,90.0,['NW'],[90.0],1,gogd,3,0,0,2,3
20.274,468,194,218,NW,S,E,90.0,['NW'],[90.0],1,gogd,4,0,0,3,4
21.634,502,179,112,NW,E,N,90.0,['NW'],[90.0],0,gogdnr,0,0,1,3,4
22.555,525,93,123,NW,N,W,90.0,['NW'],[90.0],1,gogd,1,0,0,4,5
23.431,547,97,214,NW,W,S,90.0,['NW'],[90.0],0,gogdnr,0,0,1,4,5
23.874,558,87,342,SW,N,W,90.0,['SW'],[90.0],1,gogd,1,0,0,1,6
24.236,567,114,421,SW,W,S,90.0,['SW'],[90.0],1,gogd,2,0,0,2,7
25.235,592,196,423,SW,S,E,90.0,['SW'],[90.0],1,gogd,3,0,0,3,8
26.561,625,309,328,SE,W,N,270.0,['SE'],[270.0],1,gogd,4,0,0,1,9
27.518,649,413,341,SE,N,E,270.0,['SE'],[270.0],1,gogd,5,0,0,2,10
28.484,673,398,416,SE,E,S,270.0,['SE'],[270.0],1,gogd,6,0,0,3,11
29.439,697,316,422,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,3,11
30.4,721,317,334,SE,W,N,270.0,['SE'],[270.0],1,gogd,1,0,0,4,12
31.362,745,414,340,SE,N,E,270.0,['SE'],[270.0],0,gogdnr,0,0,1,4,12
32.28,768,400,416,SE,E,S,270.0,['SE'],[270.0],1,gogd,1,0,0,5,13
33.478,798,314,422,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,5,13
34.441,822,320,329,SE,W,N,270.0,['SE'],[270.0],1,gogd,1,0,0,6,14
35.362,845,414,344,SE,N,E,270.0,['SE'],[270.0],0,gogdnr,0,0,1,6,14
36.242,867,399,417,SE,E,S,270.0,['SE'],[270.0],1,gogd,1,0,0,7,15
37.123,889,310,422,SE,S,W,270.0,['SE'],[270.0],0,gogdnr,0,0,1,7,15
37.883,908,317,330,SE,W,N,270.0,['SE'],[270.0],1,gogd,1,0,0,8,16
38.643,927,417,337,SE,N,E,270.0,['SE'],[270.0],0,gogdnr,0,0,1,8,16
39.764,955,437,237,NE,E,S,270.0,['NE'],[270.0],1,gogd,1,0,0,1,17
40.725,979,316,214,NE,S,W,270.0,['NE'],[270.0],1,gogd,2,0,0,2,18
41.645,1002,323,112,NE,W,N,270.0,['NE'],[270.0],1,gogd,3,0,0,3,19
42.928,1034,415,118,NE,N,E,270.0,['NE'],[270.0],0,gogdnr,0,0,1,3,19
43.766,1055,407,209,NE,E,S,270.0,['NE'],[270.0],1,gogd,1,0,0,4,20
44.608,1076,307,218,NE,S,W,270.0,['NE'],[270.0],0,gogdnr,0,0,1,4,20
45.205,1091,187,221,NW,E,S,270.0,['NW'],[270.0],1,gogd,1,0,0,1,21
46.126,1114,101,203,NW,S,W,270.0,['NW'],[270.0],1,gogd,2,0,0,2,22
47.049,1137,99,116,NW,W,N,270.0,['NW'],[270.0],1,gogd,3,0,0,3,23
47.887,1158,193,114,NW,N,E,270.0,['NW'],[270.0],0,gogdnr,0,0,1,3,23
