time,xposition,yposition
1.54,255.0,255.0
1.582,164.0,39.0
1.621,171.0,42.0
1.66,163.0,43.0
1.699,155.0,42.0
1.741,151.0,42.0
1.781,148.0,43.0
1.822,147.0,43.0
1.861,144.0,44.0
1.901,139.0,44.0
1.941,136.0,44.0
1.981,136.0,44.0
2.022,131.0,44.0
2.061,128.0,44.0
2.103,126.0,44.0
2.141,126.0,44.0
2.18,123.0,44.0
2.22,123.0,44.0
2.26,122.0,44.0
2.301,123.0,44.0
2.342,123.0,44.0
2.38,123.0,45.0
2.421,123.0,45.0
2.46,122.0,45.0
2.503,123.0,46.0
2.543,121.0,46.0
2.583,122.0,47.0
2.624,120.0,49.0
2.662,121.0,51.0
2.7,122.0,53.0
2.739,122.0,55.0
2.78,120.0,58.0
2.823,119.0,61.0
2.86,118.0,63.0
2.901,118.0,67.0
2.939,117.0,71.0
2.982,117.0,76.0
3.022,116.0,80.0
3.062,115.0,86.0
3.103,116.0,89.0
3.143,115.0,94.0
3.183,115.0,98.0
3.223,114.0,103.0
3.263,114.0,108.0
3.302,115.0,112.0
3.344,117.0,115.0
3.382,117.0,118.0
3.421,120.0,119.0
3.462,122.0,121.0
3.501,122.0,123.0
3.538,123.0,124.0
3.579,123.0,124.0
3.622,124.0,123.0
3.662,125.0,123.0
3.702,126.0,123.0
3.742,124.0,127.0
3.78,125.0,128.0
3.821,125.0,130.0
3.859,127.0,128.0
3.902,130.0,126.0
3.942,130.0,127.0
3.983,132.0,125.0
4.022,132.0,127.0
4.061,136.0,121.0
4.102,137.0,120.0
4.141,140.0,116.0
4.181,142.0,112.0
4.221,146.0,102.0
4.262,150.0,92.0
4.303,153.0,85.0
4.342,156.0,76.0
4.383,159.0,66.0
4.423,160.0,62.0
4.464,159.0,65.0
4.502,157.0,73.0
4.542,153.0,86.0
4.583,151.0,95.0
4.622,148.0,107.0
4.662,146.0,115.0
4.701,146.0,117.0
4.742,146.0,115.0
4.78,148.0,107.0
4.821,148.0,110.0
4.862,150.0,101.0
4.904,149.0,105.0
4.942,149.0,105.0
4.983,151.0,99.0
5.023,151.0,97.0
5.062,151.0,96.0
5.104,151.0,99.0
5.143,151.0,99.0
5.183,150.0,102.0
5.223,151.0,100.0
5.264,150.0,104.0
5.302,151.0,100.0
5.343,150.0,103.0
5.383,150.0,103.0
5.422,149.0,105.0
5.462,150.0,104.0
5.502,149.0,105.0
5.543,149.0,105.0
5.583,149.0,107.0
5.622,150.0,104.0
5.663,149.0,106.0
5.703,150.0,104.0
5.743,149.0,105.0
5.782,149.0,105.0
5.822,149.0,106.0
5.865,149.0,105.0
5.903,149.0,104.0
5.942,149.0,108.0
5.982,147.0,116.0
6.023,146.0,121.0
6.064,146.0,122.0
6.102,147.0,124.0
6.144,148.0,128.0
6.186,149.0,129.0
6.223,150.0,132.0
6.266,151.0,137.0
6.303,152.0,138.0
6.345,154.0,140.0
6.384,157.0,138.0
6.424,159.0,141.0
6.465,161.0,142.0
6.503,163.0,142.0
6.545,166.0,141.0
6.587,168.0,140.0
6.626,170.0,139.0
6.663,173.0,141.0
6.703,175.0,137.0
6.743,176.0,134.0
6.783,178.0,131.0
6.825,181.0,134.0
6.863,182.0,126.0
6.903,183.0,125.0
6.943,184.0,125.0
6.984,186.0,126.0
7.025,186.0,122.0
7.063,188.0,121.0
7.103,188.0,117.0
7.143,190.0,120.0
7.183,191.0,119.0
7.223,193.0,123.0
7.263,193.0,118.0
7.305,194.0,119.0
7.342,195.0,121.0
7.381,198.0,125.0
7.424,199.0,124.0
7.464,198.0,119.0
7.501,197.0,114.0
7.542,199.0,117.0
7.583,199.0,118.0
7.623,201.0,122.0
7.663,202.0,123.0
7.704,201.0,121.0
7.743,201.0,119.0
7.785,200.0,117.0
7.824,203.0,120.0
7.864,204.0,118.0
7.904,207.0,122.0
7.944,208.0,119.0
7.984,210.0,120.0
8.024,210.0,117.0
8.064,209.0,112.0
8.104,214.0,118.0
8.144,212.0,112.0
8.184,205.0,99.0
8.223,205.0,98.0
8.265,207.0,100.0
8.304,206.0,99.0
8.344,206.0,98.0
8.384,206.0,99.0
8.424,204.0,96.0
8.464,202.0,94.0
8.505,203.0,94.0
8.544,203.0,94.0
8.584,203.0,94.0
8.624,204.0,95.0
8.664,207.0,100.0
8.704,209.0,100.0
8.745,206.0,94.0
8.784,202.0,88.0
8.825,198.0,82.0
8.865,194.0,75.0
8.904,203.0,86.0
8.944,220.0,108.0
8.985,224.0,115.0
9.024,229.0,123.0
9.065,229.0,124.0
9.104,230.0,126.0
9.144,223.0,119.0
9.184,224.0,120.0
9.226,222.0,118.0
9.263,223.0,120.0
9.304,222.0,118.0
9.342,225.0,124.0
9.384,231.0,135.0
9.425,232.0,140.0
9.468,227.0,133.0
9.504,228.0,134.0
9.547,225.0,127.0
9.585,221.0,121.0
9.626,224.0,123.0
9.665,217.0,111.0
9.704,217.0,110.0
9.744,217.0,107.0
9.784,213.0,102.0
9.824,211.0,98.0
9.865,208.0,96.0
9.904,206.0,95.0
9.945,204.0,94.0
9.984,203.0,94.0
10.025,202.0,95.0
10.064,200.0,95.0
10.105,198.0,94.0
10.143,194.0,92.0
10.184,190.0,91.0
10.223,186.0,88.0
10.266,181.0,83.0
10.303,180.0,81.0
10.345,180.0,81.0
10.385,181.0,83.0
10.425,181.0,82.0
10.466,181.0,79.0
10.506,179.0,74.0
10.546,177.0,68.0
10.586,176.0,65.0
10.626,173.0,61.0
10.668,171.0,60.0
10.707,169.0,61.0
10.747,168.0,60.0
10.786,167.0,59.0
10.827,167.0,58.0
10.867,167.0,58.0
10.904,167.0,58.0
10.945,167.0,59.0
10.984,167.0,58.0
11.027,167.0,57.0
11.066,167.0,57.0
11.107,166.0,57.0
11.148,166.0,56.0
11.184,165.0,56.0
11.227,163.0,57.0
11.266,160.0,58.0
11.306,158.0,60.0
11.345,155.0,61.0
11.387,153.0,62.0
11.426,151.0,62.0
11.468,149.0,62.0
11.506,149.0,61.0
11.547,148.0,63.0
11.587,149.0,63.0
11.628,147.0,66.0
11.667,147.0,67.0
11.706,148.0,66.0
11.746,149.0,65.0
11.785,149.0,65.0
11.827,149.0,66.0
11.866,149.0,66.0
11.906,148.0,67.0
11.946,148.0,68.0
11.985,148.0,68.0
12.026,148.0,70.0
12.065,146.0,77.0
12.107,145.0,86.0
12.145,142.0,98.0
12.187,141.0,105.0
12.226,143.0,106.0
12.266,144.0,108.0
12.307,143.0,115.0
12.346,142.0,119.0
12.386,141.0,125.0
12.427,142.0,122.0
12.467,142.0,124.0
12.507,141.0,126.0
12.547,141.0,123.0
12.588,141.0,122.0
12.626,139.0,124.0
12.664,132.0,135.0
12.705,125.0,149.0
12.746,115.0,176.0
12.787,103.0,207.0
12.827,85.0,257.0
12.867,71.0,307.0
12.908,58.0,352.0
12.946,50.0,381.0
12.985,49.0,397.0
13.027,48.0,405.0
13.068,47.0,413.0
13.107,46.0,419.0
13.147,56.0,441.0
13.187,65.0,454.0
13.227,73.0,460.0
13.266,83.0,468.0
13.306,90.0,476.0
13.346,97.0,481.0
13.386,105.0,482.0
13.429,113.0,481.0
13.466,122.0,482.0
13.506,133.0,482.0
13.549,144.0,482.0
13.584,154.0,479.0
13.628,169.0,477.0
13.665,181.0,475.0
13.705,195.0,472.0
13.745,209.0,467.0
13.787,223.0,461.0
13.829,235.0,457.0
13.868,245.0,450.0
13.905,252.0,442.0
13.948,260.0,433.0
13.986,265.0,422.0
14.031,269.0,414.0
14.067,274.0,405.0
14.108,278.0,398.0
14.147,280.0,391.0
14.187,284.0,383.0
14.227,290.0,375.0
14.268,294.0,369.0
14.307,296.0,364.0
14.347,298.0,358.0
14.388,301.0,350.0
14.428,306.0,341.0
14.467,313.0,333.0
14.507,322.0,326.0
14.547,330.0,323.0
14.587,335.0,321.0
14.628,340.0,320.0
14.668,343.0,320.0
14.708,344.0,320.0
14.749,345.0,321.0
14.787,345.0,321.0
14.826,345.0,321.0
14.867,345.0,321.0
14.908,347.0,321.0
14.945,354.0,322.0
14.986,363.0,321.0
15.028,374.0,321.0
15.068,385.0,322.0
15.108,393.0,322.0
15.147,402.0,323.0
15.188,412.0,331.0
15.227,419.0,344.0
15.268,419.0,355.0
15.308,417.0,362.0
15.348,417.0,362.0
15.387,417.0,362.0
15.427,416.0,362.0
15.469,416.0,362.0
15.508,415.0,362.0
15.548,415.0,361.0
15.588,415.0,361.0
15.629,415.0,361.0
15.667,415.0,362.0
15.708,416.0,361.0
15.748,415.0,362.0
15.788,415.0,364.0
15.829,414.0,371.0
15.868,414.0,381.0
15.908,414.0,391.0
15.949,412.0,401.0
15.988,406.0,412.0
16.029,400.0,418.0
16.068,394.0,422.0
16.108,387.0,424.0
16.149,380.0,424.0
16.188,375.0,424.0
16.23,371.0,424.0
16.268,370.0,425.0
16.308,369.0,424.0
16.348,369.0,424.0
16.388,370.0,424.0
16.428,370.0,424.0
16.468,370.0,424.0
16.508,369.0,424.0
16.549,368.0,424.0
16.588,364.0,424.0
16.629,353.0,424.0
16.668,340.0,425.0
16.708,327.0,427.0
16.748,314.0,426.0
16.789,301.0,425.0
16.831,295.0,421.0
16.869,291.0,414.0
16.911,289.0,407.0
16.95,290.0,403.0
16.99,294.0,399.0
17.03,297.0,396.0
17.07,300.0,393.0
17.11,300.0,391.0
17.149,300.0,391.0
17.188,300.0,391.0
17.23,300.0,391.0
17.269,299.0,390.0
17.309,299.0,386.0
17.35,301.0,373.0
17.387,302.0,356.0
17.427,305.0,338.0
17.469,313.0,324.0
17.509,321.0,318.0
17.546,328.0,315.0
17.589,335.0,316.0
17.631,339.0,317.0
17.67,343.0,319.0
17.709,346.0,320.0
17.749,347.0,321.0
17.786,347.0,322.0
17.83,346.0,322.0
17.871,347.0,323.0
17.91,346.0,323.0
17.949,346.0,323.0
17.988,346.0,323.0
18.03,346.0,321.0
18.069,351.0,320.0
18.109,358.0,316.0
18.149,372.0,306.0
18.189,383.0,301.0
18.229,397.0,291.0
18.27,407.0,281.0
18.309,415.0,270.0
18.35,422.0,259.0
18.391,430.0,248.0
18.43,437.0,239.0
18.469,444.0,230.0
18.51,450.0,221.0
18.549,458.0,212.0
18.589,461.0,206.0
18.631,466.0,200.0
18.668,472.0,194.0
18.71,475.0,188.0
18.75,475.0,182.0
18.79,472.0,172.0
18.832,469.0,164.0
18.87,462.0,152.0
18.91,452.0,142.0
18.95,445.0,131.0
18.99,440.0,122.0
19.029,433.0,116.0
19.068,420.0,110.0
